Label Area Mean StdDev Min Max Perim. IntDen Median %Area RawIntDen
15-12a_SD_M3_08.tif 110.5 143 35.01 65 217 37.25 15810 148 0 59490 
15-12a_SD_M3_08.tif 10720 154.4 34.33 45 255 403.5 1656000 155 0 6232000 
15-12a_SD_M3_08.tif 58.45 122.8 34.23 64 215 28.34 7178 114 0 27010 
15-12a_SD_M3_08.tif 94.59 106.7 29.86 45 255 37.25 10090 102 0 37980 
15-12a_SD_M3_08.tif 145.9 145.3 30.7 64 225 46.96 21190 140 0 79760 
15-12a_SD_M3_08.tif 79.45 135.7 25.06 74 215 32.39 10780 132 0 40580 
15-12a_SD_M3_08.tif 42.51 130.9 32.85 65 198 23.48 5567 133 0 20950 
15-12a_SD_M3_08.tif 38.79 143.4 28.1 68 207 21.86 5563 147 0 20940 
15-12a_SD_M3_08.tif 32.15 118.5 24.87 64 167 21.05 3810 123 0 14340 
15-12a_SD_M3_08.tif 62.97 76.38 41.19 30 255 30.77 4810 70 0 18100 
15-12a_SD_M3_08.tif 70.15 93.95 21.24 58 157 29.96 6590 90 0 24800 
15-12a_SD_M3_08.tif 128.6 111.8 33.22 48 255 41.29 14380 112 0 54110 
15-12a_SD_M3_08.tif 67.75 119.6 35.57 72 209 29.15 8102 113 0 30490 
15-12a_SD_M3_08.tif 27.1 99.09 10.94 80 125 18.62 2685 97 0 10110 
15-12a_SD_M3_08.tif 8937 147.8 29.76 41 255 402.5 1321000 147 0 4971000 
15-12a_SD_M3_08.tif 37.2 120.4 34.47 62 208 21.86 4478 110 0 16860 
15-12a_SD_M3_08.tif 77.59 130.4 29.99 71 198 31.58 10120 128 0 38070 
15-12a_SD_M3_08.tif 86.35 114.3 46.76 53 212 34.01 9868 93 0 37140 
15-12a_SD_M3_08.tif 32.15 130.7 38.32 79 209 21.05 4201 115 0 15810 
           
           
           
           
           
           
           
           
           
           
           
           
